data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2021-01-01,Pfizer/BioNTech,PUG,50-59,17.0,17.0,34.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2021-01-01,Pfizer/BioNTech,PUG,60-69,13.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2021-01-01,Pfizer/BioNTech,SAR,30-39,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SAR,40-49,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SAR,50-59,3.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SAR,60-69,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SIC,20-29,67.0,80.0,147.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,30-39,85.0,96.0,181.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,40-49,99.0,87.0,186.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,50-59,102.0,95.0,197.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,60-69,93.0,44.0,137.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,70-79,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,TOS,20-29,50.0,124.0,174.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,30-39,133.0,243.0,375.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,40-49,133.0,283.0,416.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,50-59,187.0,352.0,539.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,60-69,158.0,127.0,285.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,70-79,58.0,44.0,102.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,80-89,53.0,179.0,231.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,90+,41.0,245.0,286.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,UMB,20-29,5.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2021-01-01,Pfizer/BioNTech,UMB,30-39,35.0,42.0,77.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2021-01-01,Pfizer/BioNTech,UMB,40-49,33.0,59.0,92.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2021-01-01,Pfizer/BioNTech,UMB,50-59,23.0,56.0,78.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2021-01-01,Pfizer/BioNTech,UMB,60-69,18.0,17.0,35.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI2,10.0,Umbria
2021-01-01,Pfizer/BioNTech,VEN,20-29,31.0,91.0,112.0,0.0,10.0,0.0,0.0,0.0,ITH,ITH3,5.0,Veneto
2021-01-01,Pfizer/BioNTech,VEN,30-39,110.0,188.0,280.0,0.0,18.0,0.0,0.0,0.0,ITH,ITH3,5.0,Veneto
2021-01-01,Pfizer/BioNTech,VEN,40-49,100.0,284.0,378.0,0.0,6.0,0.0,0.0,0.0,ITH,ITH3,5.0,Veneto
2021-01-01,Pfizer/BioNTech,VEN,50-59,128.0,386.0,506.0,0.0,8.0,0.0,0.0,0.0,ITH,ITH3,5.0,Veneto
2021-01-01,Pfizer/BioNTech,VEN,60-69,86.0,94.0,177.0,0.0,3.0,0.0,0.0,0.0,ITH,ITH3,5.0,Veneto
2021-01-01,Pfizer/BioNTech,VEN,70-79,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH3,5.0,Veneto
2021-01-02,Moderna,BAS,50-59,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2021-01-02,Moderna,CAM,40-49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Moderna,FVG,20-29,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Moderna,LAZ,30-39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Moderna,LAZ,40-49,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Moderna,LAZ,50-59,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Moderna,LAZ,60-69,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Moderna,SAR,12-19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-02,Pfizer/BioNTech,ABR,20-29,7.0,38.0,45.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2021-01-02,Pfizer/BioNTech,ABR,30-39,34.0,52.0,86.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2021-01-02,Pfizer/BioNTech,ABR,40-49,38.0,68.0,106.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2021-01-02,Pfizer/BioNTech,ABR,50-59,38.0,66.0,104.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2021-01-02,Pfizer/BioNTech,ABR,60-69,38.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
